lean [[346.0, 0.0], [54.0, 0.0]]
stand [[440.0, 0.0], [60.0, 0.0]]
sit [[2211.0, 0.0], [289.0, 0.0]]
nuzzle [[34.0, 0.0], [16.0, 0.0]]
admire [[2054.0, 0.0], [446.0, 0.0]]
brush [[160.0, 0.0], [40.0, 0.0]]
empty [[250.0, 0.0], [50.0, 0.0]]
rinse [[382.0, 0.0], [68.0, 0.0]]
clean [[1484.0, 0.0], [266.0, 0.0]]
spear [[137.0, 0.0], [13.0, 0.0]]
taste [[91.0, 0.0], [9.0, 0.0]]
eat [[2020.0, 0.0], [280.0, 0.0]]
bake [[126.0, 0.0], [24.0, 0.0]]
arrange [[348.0, 0.0], [52.0, 0.0]]
wipe [[659.0, 0.0], [91.0, 0.0]]
carry [[212.0, 0.0], [38.0, 0.0]]
work [[332.0, 0.0], [68.0, 0.0]]
type [[258.0, 0.0], [42.0, 0.0]]
drink [[430.0, 0.0], [70.0, 0.0]]
arch [[176.0, 0.0], [24.0, 0.0]]
open [[265.0, 0.0], [35.0, 0.0]]
check [[219.0, 0.0], [31.0, 0.0]]
fill [[292.0, 0.0], [58.0, 0.0]]
ascend [[206.0, 0.0], [44.0, 0.0]]
ask [[854.0, 0.0], [146.0, 0.0]]
aim [[326.0, 0.0], [74.0, 0.0]]
feed [[561.0, 0.0], [89.0, 0.0]]
browse [[42.0, 0.0], [8.0, 0.0]]
chase [[81.0, 0.0], [19.0, 0.0]]
restrain [[43.0, 0.0], [7.0, 0.0]]
photograph [[617.0, 0.0], [133.0, 0.0]]
walk [[1024.0, 0.0], [226.0, 0.0]]
talk [[122.0, 0.0], [28.0, 0.0]]
pick [[657.0, 0.0], [93.0, 0.0]]
swing [[383.0, 0.0], [67.0, 0.0]]
hit [[209.0, 0.0], [41.0, 0.0]]
drive [[218.0, 0.0], [82.0, 0.0]]
sell [[38.0, 0.0], [12.0, 0.0]]
wash [[533.0, 0.0], [117.0, 0.0]]
attack [[174.0, 0.0], [26.0, 0.0]]
clear [[130.0, 0.0], [20.0, 0.0]]
autograph [[34.0, 0.0], [16.0, 0.0]]
applaud [[161.0, 0.0], [39.0, 0.0]]
climb [[110.0, 0.0], [40.0, 0.0]]
wave [[73.0, 0.0], [27.0, 0.0]]
parachute [[31.0, 0.0], [19.0, 0.0]]
scratch [[41.0, 0.0], [9.0, 0.0]]
run [[128.0, 0.0], [22.0, 0.0]]
race [[86.0, 0.0], [14.0, 0.0]]
stir [[87.0, 0.0], [13.0, 0.0]]
storm [[44.0, 0.0], [6.0, 0.0]]
kick [[43.0, 0.0], [7.0, 0.0]]
adjust [[600.0, 0.0], [100.0, 0.0]]
pull [[224.0, 0.0], [26.0, 0.0]]
break [[168.0, 0.0], [32.0, 0.0]]
tear [[45.0, 0.0], [5.0, 0.0]]
bite [[356.0, 0.0], [44.0, 0.0]]
chew [[137.0, 0.0], [13.0, 0.0]]
waddle [[47.0, 0.0], [3.0, 0.0]]
