a_tool [[546.0, 0.0], [120.0, 0.0]]
a_toy [[633.0, 0.0], [33.0, 0.0]]
an_animal [[513.0, 0.0], [153.0, 0.0]]
flies [[648.0, 0.0], [18.0, 0.0]]
swims [[642.0, 0.0], [24.0, 0.0]]
pairs [[654.0, 0.0], [12.0, 0.0]]
eaten_in_summer [[615.0, 0.0], [51.0, 0.0]]
found_on_walls [[663.0, 0.0], [3.0, 0.0]]
has_peel [[666.0, 0.0], [0.0, 0.0]]
has_shelves [[666.0, 0.0], [0.0, 0.0]]
produces_noise [[429.0, 0.0], [237.0, 0.0]]
cold [[609.0, 0.0], [57.0, 0.0]]
dangerous [[633.0, 0.0], [33.0, 0.0]]
decorative [[609.0, 0.0], [57.0, 0.0]]
edible [[585.0, 0.0], [81.0, 0.0]]
electrical [[621.0, 0.0], [45.0, 0.0]]
expensive [[576.0, 0.0], [90.0, 0.0]]
fast [[534.0, 0.0], [132.0, 0.0]]
fun [[582.0, 0.0], [84.0, 0.0]]
hand_held [[447.0, 0.0], [219.0, 0.0]]
hard [[408.0, 0.0], [258.0, 0.0]]
heavy [[396.0, 0.0], [270.0, 0.0]]
large [[453.0, 0.0], [213.0, 0.0]]
loud [[468.0, 0.0], [198.0, 0.0]]
sharp [[666.0, 0.0], [0.0, 0.0]]
shiny [[558.0, 0.0], [108.0, 0.0]]
slimy [[666.0, 0.0], [0.0, 0.0]]
smelly [[501.0, 0.0], [165.0, 0.0]]
smooth [[402.0, 0.0], [264.0, 0.0]]
tall [[621.0, 0.0], [45.0, 0.0]]
lives_in_water [[666.0, 0.0], [0.0, 0.0]]
requires_gasoline [[621.0, 0.0], [45.0, 0.0]]
used_for_eating [[630.0, 0.0], [36.0, 0.0]]
used_for_cooking [[657.0, 0.0], [9.0, 0.0]]
used_for_cleaning [[642.0, 0.0], [24.0, 0.0]]
used_by_children [[468.0, 0.0], [198.0, 0.0]]
used_for_holding_things [[402.0, 0.0], [264.0, 0.0]]
used_for_killing [[654.0, 0.0], [12.0, 0.0]]
used_for_music [[666.0, 0.0], [0.0, 0.0]]
used_for_transportation [[564.0, 0.0], [102.0, 0.0]]
worn_for_warmth [[666.0, 0.0], [0.0, 0.0]]
worn_on_feet [[666.0, 0.0], [0.0, 0.0]]
hot [[567.0, 0.0], [99.0, 0.0]]
light_weight [[399.0, 0.0], [267.0, 0.0]]
squishy [[591.0, 0.0], [75.0, 0.0]]
unhealthy [[657.0, 0.0], [9.0, 0.0]]
wet [[540.0, 0.0], [126.0, 0.0]]
words_on_it [[507.0, 0.0], [159.0, 0.0]]
man_made [[195.0, 0.0], [471.0, 0.0]]
fragile [[570.0, 0.0], [96.0, 0.0]]
